			*****	 Media Access Delay (msec) 	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	
0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.2		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.48	0.0	
0.2		77.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.2		0.0	0.0	104.16	0.0	95.28	0.0	0.0	0.0	0.0	113.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.3		0.0	0.0	0.0	0.0	0.0	121.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.3		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.92	0.0	0.0	0.0	0.0	
0.3		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	294.72	0.0	0.0	0.0	0.0	0.0	0.0	277.3	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.12	0.0	0.0	
0.5		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	329.52	0.0	0.0	0.0	
0.5		0.0	0.0	230.46	0.0	239.34	0.0	381.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.5		0.0	0.0	0.0	399.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.16	0.0	0.0	0.0	0.0	
0.6		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.6		0.0	451.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.6		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.7		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.4	
0.7		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	554.18	0.0	0.0	0.0	0.0	0.0	0.0	
0.7		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.8		0.0	0.0	250.96	0.0	0.0	0.0	0.0	389.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285.78	0.0	0.0	0.0	
0.8		0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.08	0.0	0.0	0.0	0.0	0.0	78.56	0.0	0.0	0.0	0.0	0.0	0.0	
0.8		0.0	0.0	69.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.8		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.9		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.38	0.0	0.0	0.0	0.0	0.0	0.0	
0.9		0.0	0.0	0.0	0.0	389.62	620.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.9		0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.82	797.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.0		0.0	0.0	0.0	0.0	0.0	61.14	0.0	0.0	0.0	0.0	707.5	243.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	537.8	0.0	0.0	
1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	606.76	0.0	0.0	0.0	151.96	0.0	0.0	0.0	
1.1		0.0	503.28	0.0	537.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	537.42	0.0	0.0	0.0	0.0	
1.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.18	0.0	0.0	252.68	0.0	0.0	0.0	0.0	0.0	0.0	
1.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	989.56	0.0	0.0	0.0	0.0	0.0	
1.2		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
