			*****	 Packet Queue Length	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	
0.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	
0.2		0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	
0.2		0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	
0.3		0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	
0.3		1	2	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	2	
0.3		1	2	1	2	1	1	2	2	2	1	1	1	2	2	2	1	2	2	1	2	
0.4		1	2	1	2	1	1	2	1	2	1	1	1	2	2	2	1	2	2	1	2	
0.4		1	2	1	2	1	1	2	1	2	1	1	0	2	2	2	1	2	2	1	2	
0.4		2	3	2	3	2	2	3	2	3	2	2	1	2	3	3	2	3	3	2	2	
0.4		2	3	2	3	2	2	3	2	3	2	2	1	2	3	3	2	3	2	2	2	
0.5		2	3	2	3	2	2	3	2	3	2	2	1	2	3	3	2	2	2	2	2	
0.5		2	3	1	3	1	2	3	2	3	2	2	1	2	3	3	2	2	2	2	2	
0.5		3	4	2	3	2	3	3	3	4	3	3	2	3	4	4	2	3	3	3	3	
0.6		3	4	2	3	2	3	3	3	4	3	3	2	3	4	4	2	3	3	3	3	
0.6		3	3	2	3	2	3	3	3	4	3	3	2	3	4	4	2	3	3	3	3	
