			*****	 Retransmission Attempts	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	
0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	
0.2		2147483.8	2147483.8	2147483.8	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	
0.2		1.0	2147483.8	0.0	0.0	0.0	0.0	2147483.8	2147483.8	2147483.8	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	
0.2		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.3		2147483.8	0.0	2147483.8	0.0	2147483.8	1.0	0.0	0.0	2147483.8	2147483.8	2147483.8	0.0	2147483.8	0.0	0.0	2147483.8	2147483.8	2147483.8	2147483.8	2147483.8	
0.3		2147483.8	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	1.0	0.0	0.0	2147483.8	0.0	
0.3		0.0	0.0	2147483.8	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.4		0.0	0.0	0.0	0.0	2147483.8	0.0	2147483.8	1.0	0.0	0.0	2147483.8	2147483.8	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	2147483.8	
0.4		0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	1.0	0.0	0.0	2147483.8	2147483.8	0.0	0.0	2147483.8	0.0	
0.4		0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	2147483.8	1.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	
0.5		0.0	0.0	2147483.8	2147483.8	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	2147483.8	0.0	
0.5		0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	2147483.8	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	
0.5		0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	
0.6		0.0	2147483.8	0.0	0.0	2147483.8	0.0	2147483.8	0.0	0.0	0.0	2147483.8	0.0	2147483.8	2147483.8	2147483.8	0.0	0.0	0.0	0.0	2147483.8	
0.6		2147483.8	2.0	0.0	0.0	2147483.8	0.0	0.0	0.0	2147483.8	2147483.8	2147483.8	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	
0.6		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	2147483.8	2147483.8	0.0	2147483.8	0.0	2147483.8	0.0	0.0	2147483.8	0.0	2147483.8	
0.7		0.0	0.0	0.0	0.0	0.0	2147483.8	2147483.8	0.0	0.0	0.0	0.0	2147483.8	2147483.8	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	
0.7		0.0	2147483.8	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.7		2147483.8	0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	
0.8		0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	
0.8		0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	2147483.8	2147483.8	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	
0.8		0.0	0.0	1.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	2147483.8	0.0	0.0	
0.8		0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	2147483.8	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	
0.9		0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	
0.9		2147483.8	0.0	0.0	0.0	0.0	1.0	2147483.8	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	2147483.8	0.0	0.0	0.0	0.0	
0.9		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.0		2147483.8	2147483.8	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	
1.0		0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	2147483.8	0.0	
1.0		2147483.8	0.0	2147483.8	0.0	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	0.0	2147483.8	0.0	2147483.8	2147483.8	0.0	0.0	0.0	2147483.8	
1.0		0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	2147483.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
