			*****	 Throughput (packets/s)	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	System
0.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	33
0.2		33	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	66
0.2		0	0	33	0	33	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	100
0.3		0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
0.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	33
0.3		0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	33
0.4		0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	33
0.4		0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	33
0.4		0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	33	66
0.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	33
0.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	33
0.5		0	0	33	0	33	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	100
0.5		0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	66
0.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.6		0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
0.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.7		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	33
0.7		0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	33
0.7		0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	33
0.8		0	0	33	0	0	0	0	33	0	0	0	0	0	0	0	0	33	0	0	0	100
0.8		0	0	0	0	0	0	0	33	0	0	0	0	0	33	0	0	0	0	0	0	66
0.8		0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
0.8		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.9		0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	33
0.9		0	0	0	0	33	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
0.9		0	0	0	0	0	0	0	33	33	0	0	0	0	0	0	0	0	0	0	0	66
1.0		0	0	0	0	0	33	0	0	0	0	33	33	0	0	0	0	0	0	0	0	100
1.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	33
1.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.0		0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	66	0	0	0	100
1.1		0	33	0	33	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	100
1.1		0	0	0	0	0	0	0	0	0	0	33	0	0	33	0	0	0	0	0	0	66
1.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	33
1.2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	33
1.2		0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	33	0	66
1.3		0	0	0	0	0	0	0	0	33	0	0	33	0	0	0	0	0	0	0	0	66
1.3		33	0	0	0	0	0	33	0	0	0	0	0	0	33	0	0	0	0	0	0	100
1.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	33
1.4		0	33	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
1.4		0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	33	0	0	66
1.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	33	0	0	0	66
1.4		0	0	0	33	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	66
1.5		0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	33
1.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	33	100
1.5		0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	33	0	66
1.6		0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	33
