			*****	 Throughput (Kbits/s)	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	System
0.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	266
0.2		266	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	533
0.2		0	0	266	0	266	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	800
0.3		0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
0.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	266
0.3		0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	266
0.4		0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	266
0.4		0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	266
0.4		0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	266	533
0.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	266
0.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	266
0.5		0	0	266	0	266	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	800
0.5		0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	533
0.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.6		0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
0.6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.7		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	266
0.7		0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	266
0.7		0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	266
0.8		0	0	266	0	0	0	0	266	0	0	0	0	0	0	0	0	266	0	0	0	800
0.8		0	0	0	0	0	0	0	266	0	0	0	0	0	266	0	0	0	0	0	0	533
0.8		0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
0.8		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.9		0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	266
0.9		0	0	0	0	266	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533
0.9		0	0	0	0	0	0	0	266	266	0	0	0	0	0	0	0	0	0	0	0	533
1.0		0	0	0	0	0	266	0	0	0	0	266	266	0	0	0	0	0	0	0	0	800
1.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	266
1.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.0		0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	533	0	0	0	800
1.1		0	266	0	266	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	800
1.1		0	0	0	0	0	0	0	0	0	0	266	0	0	266	0	0	0	0	0	0	533
1.1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	266
1.2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	266
1.2		0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	266	0	533
1.3		0	0	0	0	0	0	0	0	266	0	0	266	0	0	0	0	0	0	0	0	533
1.3		266	0	0	0	0	0	266	0	0	0	0	0	0	266	0	0	0	0	0	0	800
1.3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	266
1.4		0	266	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533
1.4		0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	266	0	0	533
1.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	266	0	0	0	533
1.4		0	0	0	266	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	533
1.5		0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	266
1.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0	266	800
1.5		0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	266	0	533
1.6		0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	266
