			*****	 Total Packet Delay (msec) 	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	
0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.2		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.48	0.0	
0.2		77.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.2		0.0	0.0	104.16	0.0	95.28	0.0	0.0	0.0	0.0	113.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.3		0.0	0.0	0.0	0.0	0.0	121.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.3		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.84	0.0	0.0	0.0	0.0	
0.3		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	256.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	291.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	464.44	0.0	0.0	0.0	0.0	0.0	0.0	429.6	
0.4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	499.24	0.0	0.0	
0.5		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	534.04	0.0	0.0	0.0	
0.5		0.0	0.0	335.92	0.0	353.68	0.0	638.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.5		0.0	0.0	0.0	673.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	401.24	0.0	0.0	0.0	0.0	
0.6		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.6		0.0	777.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.6		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.7		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.1	
0.7		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	983.36	0.0	0.0	0.0	0.0	0.0	0.0	
0.7		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.8		0.0	0.0	482.38	0.0	0.0	0.0	0.0	736.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	651.08	0.0	0.0	0.0	
0.8		0.0	0.0	0.0	0.0	0.0	0.0	0.0	310.7	0.0	0.0	0.0	0.0	0.0	461.3	0.0	0.0	0.0	0.0	0.0	0.0	
0.8		0.0	0.0	245.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.8		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.9		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	430.5	0.0	0.0	0.0	0.0	0.0	0.0	
0.9		0.0	0.0	0.0	0.0	768.58	1115.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.9		0.0	0.0	0.0	0.0	0.0	0.0	0.0	435.26	1469.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.0		0.0	0.0	0.0	0.0	0.0	492.34	0.0	0.0	0.0	0.0	1290.0	558.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1137.72	0.0	0.0	
1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1258.24	0.0	0.0	0.0	629.24	0.0	0.0	0.0	
1.1		0.0	1207.66	0.0	1224.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1107.92	0.0	0.0	0.0	0.0	
1.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	753.86	0.0	0.0	724.48	0.0	0.0	0.0	0.0	0.0	0.0	
1.1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1854.12	0.0	0.0	0.0	0.0	0.0	
